mother,daughter
59.7,55.1
58.2,56.5
60.6,56
60.7,56.8
61.8,56
55.5,57.9
55.4,57.1
56.8,57.6
57.5,57.2
57.3,57.1
58.5,57.6
59.7,57.1
59,57.7
60.4,57.5
60.2,57.1
60.3,57.9
61.9,57.9
62.3,57.8
63,57.2
64.6,57.6
56.8,58
56.9,58.7
57.9,58
57.3,58.8
58.8,58
58.4,58
59.3,58.6
59.3,58.9
59,58.8
59.7,58.3
59.5,58.7
60.4,58.9
60.3,58.1
66.2,58.8
57,59.6
57.8,59.2
57.8,59.9
57,59.9
58.6,59.3
58.4,59.3
58,59.4
58.7,59.4
58.7,59.1
58.1,59.8
59.7,59.7
59,59.6
59.2,59
59.3,59.9
59.8,59.1
59.7,59.5
59.6,59.7
59.3,59
59.3,59.7
59.4,59.4
59.8,59.6
59.8,59.3
60.4,59
60.9,59
60.2,59.7
60.5,59.9
60,59
60.6,59.3
60.7,59.3
60.8,59
60,59.3
60.6,59.4
60.1,59.2
61.3,59.4
61.9,59.6
61.1,59.1
61,59.6
61.6,59.4
61.6,59.4
61.5,59.8
61.3,59.4
61.3,59.1
62.5,59.5
62.7,59.7
62,59.8
63.1,59
63.4,59.9
64,59.2
66.7,59.6
56.2,60.4
56.1,60.6
56.8,60.6
57.8,60.2
57.9,60.9
57.7,60.6
57.2,60.6
57.1,60.2
58.4,60.6
58.9,60.5
58.7,60.6
58,60.5
58.8,60.3
58.4,60.9
58,60.4
58.9,60.6
58.3,60.3
59,60.2
59.6,60.9
59.8,60
59.4,60.5
59.2,60.8
59.6,60.2
59.3,60.7
59.4,60.9
59.8,60.1
59.9,60
59.8,60.7
59.2,60.7
59.2,60
59.7,60.3
59.1,60
60.5,60.8
60.2,60.5
60.2,60.4
60,60.9
60.3,60.1
60.5,60.9
60.4,60.9
60.6,60.9
60.7,60
60.2,60.9
60.6,60.5
60.2,60.5
60.9,60
60.7,60.1
60,60.2
60,60.1
60.8,60.2
60.1,60.3
60.9,60.7
60.9,60.5
61.2,60.3
61.8,60.2
61.2,60.7
61.9,60
61.6,60.1
61.8,60.5
61.6,60.8
61,60.2
61.5,60.3
61.4,60.3
61.9,60.9
61.9,60.7
61.1,60.1
61.8,60
61.8,60.1
61.6,60.1
62.2,60.2
62.4,60.6
62.2,60
62.1,60.9
62.3,60.8
62.4,60.1
62.1,60.8
62.1,60.3
62.8,60.1
62.2,60.3
62.1,60.7
62.2,60.7
62,60.7
62.7,60.3
62.5,60
62.2,60.3
62.6,60.9
63.5,60.9
63.3,60
63.8,60.6
63.6,60.5
63.7,60
63.2,60.1
63.5,60.7
63,60.2
63.3,60.1
63.2,60.2
63,60.7
63,60.8
63.6,60.6
63.2,60.4
63.9,60.6
63.9,60.9
63,60.2
63.9,60.9
64.1,60.3
64.9,60.9
64.8,60.5
65.3,60.4
65.9,60.3
66.3,60.1
66.5,60.4
68.7,60.6
56.6,61.2
57.5,61.7
57.3,61.4
58.6,61.6
58.2,61.8
58.1,61.3
58.7,61.8
58.8,61
58.9,61.1
58.9,61.8
58.6,61.1
59.9,61.7
59.2,61.4
59.8,61.8
59.6,61.5
59,61.2
59.9,61
59,61.9
59.8,61.1
59.9,61.8
59.9,61.5
59,61.8
59.5,61.4
59.7,61.6
59.5,61.5
59.3,61.1
59.2,61.1
59.3,61
59.2,61.5
60,61.4
60.5,61.9
60.7,61.6
60.5,61.8
60.1,61
60.2,61.3
60.8,61
60.5,61.4
60.9,61.2
60.5,61.9
60.9,61.5
60.8,61.5
60.9,61
60.7,61.7
60.5,61.2
60.8,61.7
60.2,61
60.8,61.2
61.4,61
61.9,61.6
61.7,61.8
61.8,61.9
61.7,61.5
61.3,61.4
61,61.8
61.8,61
61.7,61.1
61.2,61.4
61.6,61.7
61.9,61.6
61.9,61.8
61.3,61.6
61.6,61.5
61.5,61.2
61.8,61.5
61.8,61.1
61,61.4
61.6,61.7
61.3,61.6
61.4,61.7
61.3,61.5
61.1,61.9
61.7,61.8
61.1,61.1
61.3,61.5
61.2,61.3
61.3,61
61.9,61.1
61.7,61.8
61,61.1
61.1,61.1
61.4,61.8
62.4,61.6
62.8,61.1
62.5,61.8
62.1,61.1
62.8,61.5
62.8,61.8
62.1,61.7
62.8,61.9
62.1,61.5
62.5,61.3
62.8,61.8
62.8,61.4
62.3,61
62.3,61.3
62.7,61.5
62.7,61.7
62.9,61.9
62.4,61.4
62.6,61.2
62.9,61.6
62.5,61.8
62.4,61.1
62.1,61.5
62.2,61.9
62.4,61.1
62.9,61.3
62.1,61.8
63.3,61
63.9,61.2
63.9,61.8
63.9,61.6
63.9,61
63.6,61.7
63.9,61.2
63.5,61.7
63.6,61.9
63.7,61.1
63.2,61
63.6,61.2
63.4,61.4
63.9,61.8
63.7,61.9
64.9,61.3
64.5,61.7
64,61.7
64.1,61.8
64.1,61.3
64.8,61.9
64.3,61.4
64.1,61.4
64.5,61.4
65.8,61.7
65.7,61
65.2,61.3
65.1,61.6
65.1,61
65.9,61.4
66.5,61.8
66.6,61.9
66.6,61.4
57.4,62.2
57.2,62.1
57.7,62.4
57.9,62.6
58.3,62.5
58.5,62
58.8,62.7
58.1,62.2
58.8,62.2
58.5,62.4
58.7,62
58.9,62.8
58.5,62.3
58.9,62.4
58.2,62.7
58.7,62
59.9,62.1
59.8,62.8
59.7,62.2
59.4,62.1
59.2,62.6
59.3,62.2
59,62.5
59.2,62.6
59.7,62.2
59.5,62.2
59.6,62.4
59,62.1
59.4,62.3
59.5,62.5
59.3,62.2
59,62.3
59.8,62.9
